	225万	224万	223万	2229023	222万	221万	220万	219万	218万	217万	216万	215万	214万	213万	212万	211万	210万
2023/10/20 0:00	889	939	997	1001	1054	1114	1178	1230	1292	1365	1444	1503	1565	1625	1679	1721	1781
2023/10/21 0:00	1457	1537	1621	1629	1712	1818	1905	2009	2111	2203	2312	2411	2514	2603	2693	2776	2872
2023/10/22 0:00	1989	2102	2215	2232	2331	2463	2566	2684	2800	2906	3046	3169	3293	3406	3538	3657	3781
2023/10/23 0:00	2481	2629	2763	2779	2898	3051	3184	3330	3483	3621	3793	3940	4090	4220	4369	4501	4643
2023/10/24 0:00	2814	2981	3137	3153	3284	3477	3617	3775	3944	4103	4281	4435	4598	4740	4910	5049	5200
2023/10/25 0:00	3103	3272	3450	3465	3617	3820	3978	4146	4316	4485	4665	4825	4997	5152	5326	5474	5626
2023/10/26 0:00	3408	3595	3794	3809	3974	4191	4356	4531	4717	4883	5065	5238	5406	5570	5768	5925	6086
2023/10/27 0:00	3817	4018	4257	4279	4470	4693	4878	5056	5247	5433	5625	5818	6004	6187	6380	6555	6736
2023/10/28 12:00	4561	4807	5091	5113	5307	5544	5743	5918	6142	6359	6563	6783	7013	7222	7450	7667	7895
