	245万	244万	243万	2423464	242万	241万	240万	239万	238万	237万	236万	235万	234万	233万	232万	231万	230万
2023/12/21 0:00	869	902	955	1001	1031	1152	1319	1510	1650	1804	1966	2099	2213	2324	2419	2524	2632
2023/12/22 0:00	1544	1602	1670	1742	1797	1970	2243	2531	2800	3021	3232	3429	3587	3741	3787	4023	4187
2023/12/23 0:00	1915	1981	2064	2150	2212	2420	2727	3059	3356	3623	3872	4096	4268	4442	4612	4777	4954
2023/12/24 0:00	2307	2392	2486	2580	2661	2899	3245	3586	3914	4192	4463	4714	4891	5080	5270	5454	5640
2023/12/25 0:00	2664	2758	2869	2974	3059	3326	3694	4050	4408	4714	4982	5250	5443	5641	5831	6025	6217
2023/12/26 0:00	2896	2995	3112	3227	3301	3590	3969	4338	4695	5020	5301	5583	5782	5981	6168	6359	6558
2023/12/27 0:00	3094	3191	3318	3441	3526	3827	4223	4600	4961	5301	5590	5880	6099	6316	6508	6701	6897
2023/12/28 0:00	3316	3419	3548	3684	3769	4089	4504	4891	5244	5589	5892	6194	6424	6640	6829	7019	7218
2023/12/29 12:00	3688	3805	3952	4101	4196	4575	5015	5390	5765	6109	6410	6723	6959	7183	7380	7577	7776
